DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2008,1.23,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2009,1.07,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2011,0.78,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2014,1.41,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2015,2.46,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2016,1.53,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2017,1.49,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2018,1.46,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2019,2.69,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2020,2.28,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2021,2.30,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Albania,2022,2.04,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2008,8.34,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2009,9.35,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2010,14.62,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2011,15.69,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2012,14.94,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2013,15.32,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2014,13.68,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2015,13.18,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2016,14.17,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2017,17.01,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2018,18.88,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2019,18.92,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2020,18.92,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2021,20.61,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Austria,2022,22.89,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Bosnia and Herzegovina,2008,0.91,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Bosnia and Herzegovina,2009,0.75,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Bosnia and Herzegovina,2010,1.20,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Bosnia and Herzegovina,2011,0.91,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Bosnia and Herzegovina,2012,1.07,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2008,30.29,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2009,29.31,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2010,30.52,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2011,30.88,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2012,30.69,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2013,29.97,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2014,28.51,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2015,28.75,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2016,30.44,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Rape,Per hundred thousand inhabitants,Belgium,2017,32.83,
