DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2008,0.57,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2009,0.91,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2011,0.78,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2014,1.93,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2015,2.70,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2016,2.64,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2017,2.43,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2018,2.33,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2019,2.69,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2020,2.81,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2021,2.47,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Albania,2022,4.01,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Sexual assault,Per hundred thousand inhabitants,Austria,2008,42.03,
