DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2008,100.88,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2009,96.49,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2011,163.19,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2014,274.90,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2015,242.98,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2016,196.17,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2017,177.15,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2018,188.62,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2019,168.84,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2020,111.11,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2021,118.10,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Albania,2022,87.99,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2008,2094.47,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2009,2047.79,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2010,1804.77,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2011,1723.26,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2012,1742.60,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2013,1822.11,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2014,1742.86,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2015,1635.37,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2016,1651.67,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2017,1501.41,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2018,1346.62,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2019,1302.92,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2020,951.95,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2021,819.61,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Austria,2022,1081.86,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Bosnia and Herzegovina,2008,212.81,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Bosnia and Herzegovina,2009,175.34,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Bosnia and Herzegovina,2010,295.57,
ESTAT:CRIM_OFF_CAT(1.0),23/04/24 23:00:00,Annual,Theft,Per hundred thousand inhabitants,Bosnia and Herzegovina,2011,175.30,
