DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2004,60.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2005,59.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2006,61.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2007,61.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2008,59.9,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2009,60.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2010,60.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2011,60.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2012,62.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2013,60.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2014,57.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2015,58.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2016,57.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2017,56.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2018,57.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2019,58.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2020,59.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2021,61.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Austria,2022,61.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2004,58.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2005,62.3,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2006,63.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2007,63.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2008,64.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2009,63.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2010,62.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2011,63.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2012,65.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2013,63.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2014,63.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2015,64.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2016,63.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2017,64.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2018,63.7,
