DATAFLOW,LAST UPDATE,freq,citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2014,178104,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2015,184536,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2016,194593,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2017,201189,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2018,203946,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2019,206421,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2020,209422,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2021,211196,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2022,214978,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Austria,2023,108443,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Belgium,2014,99096,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Belgium,2015,94652,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Belgium,2016,93004,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Belgium,2017,90180,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",Total,Number,Total,Belgium,2018,89364,
