DATAFLOW,LAST UPDATE,freq,citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2014,34395,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2015,39360,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2016,62642,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2017,74981,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2018,75520,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2019,73789,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2020,72857,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2021,63279,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2022,66613,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Austria,2023,70668,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2014,96232,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2015,99111,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2016,110671,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2017,113374,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2018,115065,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2019,119173,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2020,125541,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2021,79462,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2022,110220,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Belgium,2023,121539,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Bulgaria,2023,1099,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2014,68847,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2015,71931,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2016,79341,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2017,95994,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2018,102017,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2019,104615,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2020,107353,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2021,87987,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2022,98120,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Switzerland,2023,102937,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Cyprus,2014,1471,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Cyprus,2015,1715,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with low Human Development Index (HDI)",Total,Number,Total,Cyprus,2016,1814,
