DATAFLOW,LAST UPDATE,freq,citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2014,52755,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2015,62453,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2016,97357,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2017,108308,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2018,115639,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2019,117661,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2020,120915,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2021,94037,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2022,107503,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Austria,2023,124236,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2014,140181,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2015,146343,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2016,167828,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2017,172572,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2018,179333,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2019,187823,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2020,195865,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2021,204126,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2022,182730,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Belgium,2023,185145,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Bulgaria,2023,8575,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2014,86962,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2015,91991,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2016,98580,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2017,106735,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2018,110868,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2019,114788,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2020,119223,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2021,84163,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2022,80378,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Switzerland,2023,83755,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2014,35865,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2015,27680,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2016,20003,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2017,18416,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2018,20714,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2019,22817,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2020,22601,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2021,20672,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2022,20070,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Cyprus,2023,25612,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2014,82174,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2015,84288,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2016,86301,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2017,92085,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2018,92910,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2019,98861,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2020,102182,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2021,11240,b
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2022,12608,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Czechia,2023,14970,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Germany,2014,601226,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Germany,2015,702367,b
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Germany,2016,1104836,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,"Countries other than EU, EFTA and Candidate countries with medium Human Development Index (HDI)",Total,Number,Total,Germany,2017,1343999,
