DATAFLOW,LAST UPDATE,freq,citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Albania,2022,2793592,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2014,8507786,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2015,8584926,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2016,8700471,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2017,8772865,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2018,8822267,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2019,8858775,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2020,8901064,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2021,8932664,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2022,8978929,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Austria,2023,9104772,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Belgium,2014,11180840,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Belgium,2015,11237274,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Belgium,2016,11311117,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Belgium,2017,11351727,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Belgium,2018,11398589,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Belgium,2019,11455519,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Belgium,2020,11522440,
ESTAT:MIGR_POP7CTZ(1.0),04/11/24 23:00:00,Annual,Total,Total,Number,Total,Belgium,2021,11554767,
