"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1995","74.03"
"ALB","","ALL","1996","76.45"
"ALB","","ALL","1997","73.18"
"ALB","","ALL","1998","69.76"
"ALB","","ALL","1999","63.38"
"ALB","","ALL","2000","63.82"
"ALB","","ALL","2001","61.69"
"ALB","","ALL","2002","64.07"
"ALB","","ALL","2003","60.44"
"ALB","","ALL","2004","53.81"
"ALB","","ALL","2005","52.3"
"ALB","","ALL","2006","51.82"
"ALB","","ALL","2007","52.49"
"ALB","","ALL","2008","51.67"
"ALB","","ALL","2009","50.91"
"ALB","","ALL","2010","53.41"
"ALB","","ALL","2011","49.99"
"ALB","","ALL","2012","50.89"
"ALB","","ALL","2013","49.7"
"ALB","","ALL","2014","49.93"
"AND","","ALL","1995","22.44"
"AND","","ALL","1996","21.22"
"AND","","ALL","1997","20.96"
"AND","","ALL","1998","16.48"
"AND","","ALL","1999","22.28"
"AND","","ALL","2000","22.08"
"AND","","ALL","2001","21.88"
"AND","","ALL","2002","22.02"
"AND","","ALL","2003","22.34"
"AND","","ALL","2004","22.63"
"AND","","ALL","2005","24.59"
"AND","","ALL","2006","24"
"AND","","ALL","2007","20.03"
"AND","","ALL","2008","19.25"
"AND","","ALL","2009","18.49"
"AND","","ALL","2010","15.94"
"AND","","ALL","2011","19.24"
"AND","","ALL","2012","17.31"
"AND","","ALL","2013","11.29"
"AND","","ALL","2014","15.94"
"ARM","","ALL","1995","66.23"
"ARM","","ALL","1996","69.37"
"ARM","","ALL","1997","71.79"
"ARM","","ALL","1998","67.77"
"ARM","","ALL","1999","67.28"
"ARM","","ALL","2000","77.35"
"ARM","","ALL","2001","69.78"
"ARM","","ALL","2002","68.75"
"ARM","","ALL","2003","69.13"
"ARM","","ALL","2004","71.35"
"ARM","","ALL","2005","61.65"
"ARM","","ALL","2006","52.65"
"ARM","","ALL","2007","49.45"
"ARM","","ALL","2008","51.4"
"ARM","","ALL","2009","53.08"
"ARM","","ALL","2010","55.87"
"ARM","","ALL","2011","47.05"
"ARM","","ALL","2012","54.57"
"ARM","","ALL","2013","53.69"
"ARM","","ALL","2014","53.51"
"AUT","","ALL","1995","15.15"
"AUT","","ALL","1996","15.53"
"AUT","","ALL","1997","15.38"
"AUT","","ALL","1998","15.34"
"AUT","","ALL","1999","14.95"
"AUT","","ALL","2000","15.07"
"AUT","","ALL","2001","15.87"
"AUT","","ALL","2002","15.83"
"AUT","","ALL","2003","16.03"
"AUT","","ALL","2004","17.48"
"AUT","","ALL","2005","17.42"
"AUT","","ALL","2006","17.19"
"AUT","","ALL","2007","17.09"
"AUT","","ALL","2008","16.39"
"AUT","","ALL","2009","16.33"
"AUT","","ALL","2010","16.58"
"AUT","","ALL","2011","16.68"
"AUT","","ALL","2012","16.34"
"AUT","","ALL","2013","16.24"
"AUT","","ALL","2014","16.15"
"AZE","","ALL","1995","66.36"
"AZE","","ALL","1996","65.14"
"AZE","","ALL","1997","62.17"
"AZE","","ALL","1998","67.24"
"AZE","","ALL","1999","64.77"
"AZE","","ALL","2000","63.27"
"AZE","","ALL","2001","63.22"
"AZE","","ALL","2002","65.27"
"AZE","","ALL","2003","77.35"
"AZE","","ALL","2004","79"
"AZE","","ALL","2005","82.36"
"AZE","","ALL","2006","78.43"
"AZE","","ALL","2007","72.56"
"AZE","","ALL","2008","71.75"
"AZE","","ALL","2009","68.5"
"AZE","","ALL","2010","69.18"
"AZE","","ALL","2011","69.83"
"AZE","","ALL","2012","69.02"
"AZE","","ALL","2013","71.06"
"AZE","","ALL","2014","72.08"
"BEL","","ALL","1995","19.59"
"BEL","","ALL","1996","18.87"
"BEL","","ALL","1997","21.13"
"BEL","","ALL","1998","21.19"
"BEL","","ALL","1999","20.86"
"BEL","","ALL","2000","20.54"
"BEL","","ALL","2001","19.71"
"BEL","","ALL","2002","21.34"
"BEL","","ALL","2003","20.31"
"BEL","","ALL","2004","18.19"
"BEL","","ALL","2005","17.6"
"BEL","","ALL","2006","18.66"
"BEL","","ALL","2007","19.4"
"BEL","","ALL","2008","18.47"
"BEL","","ALL","2009","18.2"
"BEL","","ALL","2010","17.93"
"BEL","","ALL","2011","18.73"
"BEL","","ALL","2012","17.78"
"BEL","","ALL","2013","17.85"
"BEL","","ALL","2014","17.81"
"BGR","","ALL","1995","26.04"
